Store Format,Store Region,Store #,Store Name,Address,City,State,Zip,Phone #
Non-plus,Central Texas Region,68,Slaughter and Escarpment H-E-B,5800 W. SLAUGHTER LANE,AUSTIN,TX,78749-6507," (512) 301-9770"
Plus,Gulf Coast Region,69,Staples and Saratoga H-E-B plus!,5313 SARATOGA,CORPUS CHRISTI,TX,78413-2816," (361) 980-0993"
Non-plus,North West Region,70,Abilene H-E-B,1345 BARROW,ABILENE,TX,79605-5171," (325) 690-5000"
Non-plus,North West Region,71,Adams and 25th St H-E-B,1314 WEST ADAMS,TEMPLE,TX,76504-2448," (254) 773-4145"
Non-plus,San Antonio Region,74,New Braunfels H-E-B at Hwy 46,1655 W STATE HIGHWAY 46,NEW BRAUNFELS,TX,78130-4753," (830) 626-0937"
Convenience,Convenience Stores,79,Floresville H-E-B Convenience Store,909 10TH STREET,FLORESVILLE,TX,78114-1851," (830) 393-8908"
Plus,San Antonio Region,84,Zarzamora and Military H-E-B plus!,6818 SOUTH ZARZAMORA,SAN ANTONIO,TX,78224-1136," (210) 927-5334"
Plus,San Antonio Region,85,Potranco and 1604 H-E-B plus!,10718 POTRANCO ROAD,SAN ANTONIO,TX,78251-3312," (210) 681-2250"
Non-plus,Houston Region,86,Gulfway Drive H-E-B,3401 GULFWAY DR.,PORT ARTHUR,TX,77642-3671," (409) 985-9723"
Non-plus,Border Region,88,Pecan and Greenwood H-E-B,500 PECAN,DEL RIO,TX,78840-5824," (830) 774-2596"
Non-plus,Houston Region,90,CAFE ON THE RUN,3131 CAMPBELL,HOUSTON,TX,77080-0," (713) 690-3028"
Plus,Central Texas Region,91,Riverside H-E-B plus!,2508 EAST RIVERSIDE DRIVE,AUSTIN,TX,78741-3037," (512) 448-3544"
Plus,Gulf Coast Region,92,Victoria H-E-B plus!,6106 N. NAVARRO,VICTORIA,TX,77904-1767," (361) 578-9891"
Non-plus,San Antonio Region,93,DISASTER RECOVERY UNIT,"5311 RITTIMAN, BUILDING 2",SAN ANTONIO,TX,78218-4602," (999) 999-9999"
Plus,Border Region,94,Mission H-E-B plus!,2409 EAST EXPRESSWAY 83,MISSION,TX,78572-8354," (956) 205-6700"
Plus,Border Region,95,Laredo H-E-B plus!,1911 NE BOB BULLOCK LOOP,LAREDO,TX,78045-6596," (956) 764-5000"
Non-plus,Central Texas Region,96,Far West H-E-B,7015 VILLAGE CTR DR.,AUSTIN,TX,78731-3023," (512) 502-8445"
Non-plus,Houston Region,99,Vintage Park Market H-E-B,10919 LOUETTA RD,HOUSTON,TX,77070-1667," (281) 257-4600"
Convenience,Convenience Stores,101,Gattis School Rd H-E-B Convenience Store,3780 GATTIS SCHOOL ROAD,ROUND ROCK,TX,78664-9730," (512) 246-3215"
Non-plus,San Antonio Region,102,Alon Market H-E-B,8503 NW MILITARY HWY,SAN ANTONIO,TX,78231-1841," (210) 479-4300"
Non-plus,North West Region,104,Marlin H-E-B,435 LIVE OAK,MARLIN,TX,76661-2367," (254) 803-5501"
Non-plus,San Antonio Region,106,W. W. White H-E-B,1015 S.W.W. WHITE ROAD,SAN ANTONIO,TX,78220-2530," (210) 333-0020"
Non-plus,North West Region,107,Ennis H-E-B,101 S. CLAY ST,ENNIS,TX,75119-4519," (972) 875-7720"
Plus,San Antonio Region,108,281 and Evans Road H-E-B plus!,20935 US HIGHWAY 281 NORTH,SAN ANTONIO,TX,78258-7587," (210) 491-2400"
Non-plus,Houston Region,109,Bunker Hill H-E-B,9710 KATY FREEWAY,HOUSTON,TX,77055-6209," (713) 647-5900"
Non-plus,Houston Region,110,Sienna Market H-E-B,8900 HWY 6,MISSOURI CITY,TX,77459-6931," (281) 778-1300"
Convenience,Convenience Stores,111,Military at Zarzamora H-E-B Convenience Store,7004 S.ZARZAMORA,SAN ANTONIO,TX,78224-1118," (210) 932-9275"
Non-plus,Gulf Coast Region,115,Sinton H-E-B,106 S. SAN PATRICIO,SINTON,TX,78387-2415," (361) 364-3270"
Non-plus,Houston Region,116,Lumberton H-E-B,819 N MAIN ST,LUMBERTON,TX,77657-7358," (409) 755-2501"
Non-plus,Border Region,117,Crystal City H-E-B,514 E. ZAVALA,CRYSTAL CITY,TX,78839-2936," (830) 374-2305"
Convenience,Convenience Stores,121,Military at Pleasanton H-E-B Convenience Store,SW MILITARY DRIVE,SAN ANTONIO,TX,78221-1642," (210) 927-3265"
Non-plus,Border Region,136,Southland and 12th St H-E-B,1213 S. COMMERCE,HARLINGEN,TX,78550-7708," (956) 425-6677"
Non-plus,Gulf Coast Region,139,Weber and Holly H-E-B,5801 WEBER ROAD,CORPUS CHRISTI,TX,78413-3966," (361) 854-1911"
Non-plus,Gulf Coast Region,160,Mathis H-E-B,601 E. SAN PATRICIO,MATHIS,TX,78368-2428," (361) 547-3233"
Non-plus,Central Texas Region,161,Ed Bluestein H-E-B,7112 ED BLUESTEIN_#125,AUSTIN,TX,78723-2924," (512) 926-1491"
Non-plus,San Antonio Region,164,Brook Hollow H-E-B,15000 SAN PEDRO,SAN ANTONIO,TX,78232-3714," (210) 494-3501"
Non-plus,Border Region,168,Morgan and Grimes H-E-B,1103 MORGAN BLVD,HARLINGEN,TX,78550-5152," (956) 428-6365"
Non-plus,Gulf Coast Region,171,Ingleside H-E-B,2616 STATE HIGHWAY 361,INGLESIDE,TX,78362-4202," (361) 776-7510"
Non-plus,Border Region,172,Closner and Baker H-E-B,1212 S CLOSNER BLVD,EDINBURG,TX,78539-5664," (956) 381-9136"
Non-plus,San Antonio Region,178,San Pedro and Oblate H-E-B,6839 SAN PEDRO,SAN ANTONIO,TX,78216-7202," (210) 342-2745"
Non-plus,North West Region,182,Market Place H-E-B,3002 S 31 ST,TEMPLE,TX,76502-1802," (254) 778-4820"
Non-plus,Central Texas Region,183,Lamar and Rundberg H-E-B,9414 N LAMAR BLVD,AUSTIN,TX,78753-4106," (512) 835-5400"
Non-plus,Gulf Coast Region,184,Leopard and Violet H-E-B,11100 LEOPARD,CORPUS CHRISTI,TX,78410-2612," (361) 241-4228"
Non-plus,Border Region,186,Saunders St H-E-B,2310 E SAUNDERS ST,LAREDO,TX,78041-5435," (956) 724-1128"
Non-plus,San Antonio Region,189,El Mercado H-E-B,2130 CULEBRA,SAN ANTONIO,TX,78228-6308," (210) 737-1027"
Central Market,Central Market,191,San Antonio Central Market,4821 BROADWAY,SAN ANTONIO,TX,78209-5703," (210) 368-8600"
Non-plus,San Antonio Region,195,Blanco and West Ave H-E-B,11551 WEST AVE.,SAN ANTONIO,TX,78213-1343," (210) 340-7976"
Non-plus,Gulf Coast Region,200,Falfurrias H-E-B,700 S SAINT MARYS ST,FALFURRIAS,TX,78355-4365," (361) 325-3604"
Non-plus,Central Texas Region,202,Burnet Rd H-E-B,5808 BURNET RD,AUSTIN,TX,78756-1100," (512) 453-8864"
Non-plus,San Antonio Region,205,Las Palmas H-E-B,721 CASTROVILLE RD,SAN ANTONIO,TX,78237-3134," (210) 432-0949"
Non-plus,Border Region,207,Guadalupe and Stone H-E-B,1301 GUADALUPE ST.,LAREDO,TX,78040-5343," (956) 724-1147"
Non-plus,Gulf Coast Region,210,Alameda and Robert H-E-B,4320 S. ALAMEDA ST.,CORPUS CHRISTI,TX,78412-2412," (361) 993-4840"
Non-plus,San Antonio Region,211,New Braunfels and Houston H-E-B,415 N. NEW BRAUNFELS,SAN ANTONIO,TX,78202-3050," (210) 226-8531"
Non-plus,Border Region,212,N 10th and Fern H-E-B,3200 N. 10TH STREET,MCALLEN,TX,78501-1926," (956) 631-7138"
Non-plus,Central Texas Region,218,Parmer and Mopac H-E-B,12407 N. MOPAC EXPWY,AUSTIN,TX,78758-2475," (512) 339-1181"
Non-plus,Gulf Coast Region,223,Alice H-E-B,1115 E. MAIN,ALICE,TX,78332-5046," (361) 668-6633"
Non-plus,San Antonio Region,224,Bandera and Guilbeau H-E-B,7951 GUILBEAU RD.,SAN ANTONIO,TX,78250-3232," (210) 523-0296"
Non-plus,Border Region,226,Conway and 9th St H-E-B,820 S. CONWAY,MISSION,TX,78572-5362," (956) 581-2154"
Non-plus,Central Texas Region,227,Slaughter and Manchaca H-E-B,2110 WEST SLAUGHTER LN,AUSTIN,TX,78748-5992," (512) 282-0182"
Non-plus,Central Texas Region,229,I 35 and William Cannon H-E-B,6607 SOUTH IH 35,AUSTIN,TX,78744-3410," (512) 441-9266"
Non-plus,San Antonio Region,230,Nacogdoches and O'Connor H-E-B,14087 O'CONNOR RD,SAN ANTONIO,TX,78247-1979," (210) 637-1313"
Non-plus,Border Region,231,83 and N Texas H-E-B,1004 N. TEXAS,WESLACO,TX,78596-4511," (956) 968-9533"
Non-plus,Gulf Coast Region,233,Wharton H-E-B,1616 N ALABAMA,WHARTON,TX,77488-3204," (979) 282-2773"
Non-plus,Gulf Coast Region,234,Refugio H-E-B,206 S. ALAMO,REFUGIO,TX,78377-2303," (361) 526-5381"
Non-plus,San Antonio Region,235,Grissom and Tezel H-E-B,9255 GRISSOM RD,SAN ANTONIO,TX,78251-2805," (210) 681-5071"
Non-plus,Central Texas Region,236,Wells Branch H-E-B,1434 WELLS BRANCH PKWY,PFLUGERVILLE,TX,78660-3153," (512) 251-2584"
Non-plus,North West Region,238,Corsicana H-E-B,201 S. 15TH STREET,CORSICANA,TX,75110-5138," (903) 874-4778"
Non-plus,Central Texas Region,243,East Hopkins H-E-B,641 EAST HOPKINS STREET,SAN MARCOS,TX,78666-7055," (512) 396-8880"
Non-plus,Gulf Coast Region,253,Leopard and Nueces Bay H-E-B,3500 LEOPARD,CORPUS CHRISTI,TX,78408-3204," (361) 882-9864"
Non-plus,Border Region,255,35 and Calton H-E-B,4801 SAN DARIO,LAREDO,TX,78041-5754," (956) 725-3061"
Non-plus,Houston Region,256,Columbus H-E-B,2105 MILAM,COLUMBUS,TX,78934-3013," (979) 732-6253"
Non-plus,Houston Region,257,Cleveland H-E-B,100 TRULY PLAZA,CLEVELAND,TX,77327-4889," (281) 592-0466"
Non-plus,San Antonio Region,262,Marketplace H-E-B,5601 BANDERA ROAD,SAN ANTONIO,TX,78238-1986," (210) 647-2700"
Non-plus,Border Region,263,Central Blvd H-E-B,1628 CENTRAL BLVD,BROWNSVILLE,TX,78520-8327," (956) 541-4816"
Non-plus,Central Texas Region,265,Hwy 183 and Whitestone Blvd H-E-B,170 E WHITESTONE BLVD,CEDAR PARK,TX,78613-1900," (512) 259-5500"
Non-plus,Central Texas Region,269,North Hills H-E-B,10710 RESEARCH BLVD. STE 200,AUSTIN,TX,78759-5780," (512) 794-8221"
Non-plus,Gulf Coast Region,270,Moore Plaza H-E-B,5425 S.P.I.D. AT STAPLES,CORPUS CHRISTI,TX,78411-5301," (361) 991-2695"
Non-plus,Houston Region,271,West Columbia H-E-B,110 W BRAZOS ST,WEST COLUMBIA,TX,77486-2606," (979) 345-6950"
Non-plus,Houston Region,287,Crockett H-E-B,1035 LOOP 304 EAST,CROCKETT,TX,75835-1805," (936) 544-5234"
Non-plus,Houston Region,288,Alvin H-E-B,207 E. SOUTH,ALVIN,TX,77511-3553," (281) 585-5188"
Non-plus,Border Region,291,83 and Lincoln H-E-B,613 S EXPWY 83,HARLINGEN,TX,78550-5905," (956) 425-7491"
Non-plus,Gulf Coast Region,292,Bay City H-E-B,2700 SEVENTH,BAY CITY,TX,77414-5305," (979) 245-2990"
Non-plus,San Antonio Region,294,Foster Rd H-E-B,6580 F.M. 78,SAN ANTONIO,TX,78244-1300," (210) 666-2022"
Non-plus,San Antonio Region,299,SAN ANTONIO RESERVE,.,.,TX,0-0," (210) 1-"
Non-plus,Border Region,332,Southmost and 30th H-E-B,2950 SOUTHMOST ROAD,BROWNSVILLE,TX,78521-4787," (956) 541-8406"
Non-plus,Gulf Coast Region,333,Aransas Pass H-E-B,101 E. GOODNIGHT,ARANSAS PASS,TX,78336-1919," (361) 758-5900"
Non-plus,Border Region,334,Pecan and Ware H-E-B,3601 PECAN,MCALLEN,TX,78501-3512," (956) 971-9881"
Non-plus,Houston Region,339,Livingston H-E-B,1509 W. CHURCH,LIVINGSTON,TX,77351-3003," (936) 327-6306"
Non-plus,Houston Region,348,Santa Fe H-E-B,4206 AVENUE T,SANTA FE,TX,77510-8615," (409) 925-5186"
Non-plus,Gulf Coast Region,351,Edna H-E-B,301 N. WELLS ST,EDNA,TX,77957-2728," (361) 782-5218"
Non-plus,Gulf Coast Region,355,Yoakum H-E-B,201 W. GONZALES,YOAKUM,TX,77995-2719," (361) 293-5281"
Non-plus,Central Market,367,CENTRAL MARKET RESERVE,,,,0-0," (0) 0-"
Non-plus,Border Region,370,Mercedes H-E-B,209 N. TEXAS,MERCEDES,TX,78570-2746," (956) 514-0003"
Non-plus,San Antonio Region,372,Oak Park H-E-B,1955 NACOGDOCHES,SAN ANTONIO,TX,78209-2217," (210) 930-3707"
Non-plus,Central Texas Region,373,620 and O'Connor H-E-B,16900 RANCH ROAD 620,ROUND ROCK,TX,78681-3922," (512) 238-7909"
Non-plus,North West Region,381,Harker Heights H-E-B,601 INDIAN TRAIL,HARKER HEIGHTS,TX,76548-1347," (254) 699-8411"
Non-plus,North West Region,382,West Wadley H-E-B,3325 WEST WADLEY,MIDLAND,TX,79707-5714," (432) 697-1471"
Non-plus,Border Region,383,Port Isabel H-E-B,1679 HIGHWAY 100,PORT ISABEL,TX,78578-2806," (956) 943-1171"
Non-plus,San Antonio Region,384,Montgomery at Walzem,6030 MONTGOMERY DR,SAN ANTONIO,TX,78239-3233," (210) 657-2944"
Non-plus,San Antonio Region,385,Olmos Park H-E-B,300 OLMOS DRIVE,SAN ANTONIO,TX,78212-1958," (210) 829-7373"
Non-plus,North West Region,387,42nd St. H-E-B,3801 E 42ND,ODESSA,TX,79762-5947," (432) 362-4500"
Non-plus,Central Texas Region,388,Parmer and McNeil H-E-B,6001 WEST PARMER LANE,AUSTIN,TX,78727-3901," (512) 249-0400"
Non-plus,San Antonio Region,389,West Ave and Jackson Keller H-E-B,6000 WEST AVENUE,SAN ANTONIO,TX,78213-2714," (210) 341-7289"
Non-plus,San Antonio Region,395,De Zavala H-E-B,12777 IH 10 WEST,SAN ANTONIO,TX,78230-1014," (210) 558-3981"
Non-plus,San Antonio Region,397,281 and 1604 H-E-B,18140 SAN PEDRO,SAN ANTONIO,TX,78232-1421," (210) 490-4931"
Non-plus,San Antonio Region,398,Thousand Oaks H-E-B,2929 THOUSAND OAKS,SAN ANTONIO,TX,78247-3312," (210) 491-9508"
Non-plus,Gulf Coast Region,401,Kingsville H-E-B,409 E. KLEBERG,KINGSVILLE,TX,78363-3872," (361) 595-0243"
Non-plus,North West Region,403,Gatesville H-E-B,1207 E.MAIN,GATESVILLE,TX,76528-1628," (254) 865-8491"
Non-plus,Central Texas Region,404,Bee Cave H-E-B,12400 W HIGHWAY 71,BEE CAVE,TX,78738-6517," (512) 263-0528"
Non-plus,San Antonio Region,411,Pleasanton H-E-B,219 W OAKLAWN,PLEASANTON,TX,78064-4221," (830) 281-8172"
Non-plus,Gulf Coast Region,412,Beeville H-E-B,100 EAST HOUSTON ST.,BEEVILLE,TX,78102-5613," (361) 358-4553"
Non-plus,Gulf Coast Region,413,Alameda / Texan Trail (Medical District),3133 S. ALAMEDA,CORPUS CHRISTI,TX,78404-2505," (361) 855-3031"
Non-plus,Houston Region,414,Brenham H-E-B,2508 S. DAY ST.,BRENHAM,TX,77833-5521," (979) 277-9858"
Plus,San Antonio Region,415,Schertz H-E-B plus!,17460 I.H. 35 NORTH,SCHERTZ,TX,78154-1264," (210) 651-5105"
Non-plus,Central Texas Region,416,La Grange H-E-B,450 E. TRAVIS,LA GRANGE,TX,78945-2655," (979) 968-8381"
Non-plus,Border Region,418,Avenue F and Gibbs H-E-B,200 VETERAN'S BLVD,DEL RIO,TX,78840-4658," (830) 774-5666"
Non-plus,Border Region,419,Eagle Pass H-E-B,2135 E. MAIN,EAGLE PASS,TX,78852-4718," (830) 773-0345"
Central Market,Central Market,420,Central Market Westgate,4477 S. LAMAR BLVD,AUSTIN,TX,78745-1409," (512) 899-4300"
Non-plus,Border Region,421,Alamo H-E-B,1211 EAST FRONTAGE RD.,ALAMO,TX,78516-2315," (956) 702-2289"
Non-plus,North West Region,423,Wooded Acres H-E-B,1301 WOODED ACRES,WACO,TX,76710-4437," (254) 776-7040"
Non-plus,Border Region,424,Hondo H-E-B,609 19TH STREET,HONDO,TX,78861-2504," (830) 426-4349"
Non-plus,Central Texas Region,425,Hancock Center H-E-B,1000 EAST 41 ST.,AUSTIN,TX,78751-4810," (512) 459-6513"
Non-plus,North West Region,426,Waxahachie H-E-B,800 HWY 77,WAXAHACHIE,TX,75165-1884," (972) 923-2283"
Non-plus,San Antonio Region,427,Military and Pleasanton H-E-B,735 SW MILITARY,SAN ANTONIO,TX,78221-1642," (210) 927-6825"
Non-plus,Central Texas Region,428,Brodie Lane H-E-B,6900 BRODIE LANE,AUSTIN,TX,78745-5008," (512) 891-8900"
Non-plus,Border Region,429,Raymondville H-E-B,405 W. HILDALGO,RAYMONDVILLE,TX,78580-3532," (956) 689-6556"
Non-plus,Border Region,431,Edinburg H-E-B,2700 W FREDDY GONZALEZ,EDINBURG,TX,78539-7312," (956) 383-4083"
Non-plus,Central Texas Region,432,Lampasas H-E-B,705 S. KEY AVE.,LAMPASAS,TX,76550-3114," (512) 556-3461"
Non-plus,Central Texas Region,433,Burnet Polk Street H-E-B,105 S BOUNDARY,BURNET,TX,78611-3201," (512) 756-6188"
Non-plus,Gulf Coast Region,434,Port Lavaca H-E-B,101 CALHOUN PLAZA,PORT LAVACA,TX,77979-2423," (361) 552-7523"
Non-plus,Border Region,441,Uvalde H-E-B,201 EAST MAIN,UVALDE,TX,78801-5638," (830) 278-3352"
Non-plus,San Antonio Region,444,Military and Goliad H-E-B,3323 SE MILITARY DR.,SAN ANTONIO,TX,78223-3814," (210) 333-1441"
Non-plus,Central Texas Region,445,Lockhart H-E-B,403 SOUTH COLORADO STREET,LOCKHART,TX,78644-2702," (512) 398-2301"
Plus,Border Region,446,Paredes and Torres H-E-B plus!,2155 PAREDES LINE RD,BROWNSVILLE,TX,78521-1609," (956) 574-9701"
Non-plus,Border Region,448,Palmview H-E-B,6010 W EXPRESSWAY 83,PALMVIEW,TX,78572-9139," (956) 585-3161"
Non-plus,Border Region,449,McPherson Rd H-E-B,7811 MCPHERSON RD.,LAREDO,TX,78045-2802," (956) 712-2459"
Non-plus,Central Texas Region,451,Four Points H-E-B,7301 N FM 620,AUSTIN,TX,78726-4539," (512) 336-7700"
Non-plus,Central Texas Region,455,West Hopkins H-E-B,200 WEST HOPKINS ST.,SAN MARCOS,TX,78666-5615," (512) 396-0100"
Non-plus,Houston Region,458,Carthage H-E-B,419 NW LOOP 436,CARTHAGE,TX,75633-9275," (903) 693-4952"
Non-plus,Gulf Coast Region,462,S Port and Tarlton H-E-B,3033 SOUTH PORT ST.,CORPUS CHRISTI,TX,78405-2040," (361) 883-6002"
Plus,San Antonio Region,463,Loop 1604 and Blanco Rd H-E-B plus!,1150 NW LOOP 1604,SAN ANTONIO,TX,78248-4552," (210) 408-1641"
Non-plus,Central Texas Region,464,Luling H-E-B,320 PIERCE,LULING,TX,78648-2427," (830) 875-3831"
Non-plus,Central Texas Region,465,7th Street H-E-B,2701 EAST 7TH,AUSTIN,TX,78702-3907," (512) 478-7328"
Non-plus,San Antonio Region,466,Commerce and Rosillo H-E-B,108 N ROSILLO,SAN ANTONIO,TX,78207-3706," (210) 227-0447"
Non-plus,North West Region,467,Mexia H-E-B,701 E. MILAM STREET,MEXIA,TX,76667-2445," (254) 562-5305"
Non-plus,Houston Region,473,Fairmont Pkwy H-E-B,6210 FAIRMONT PKWY,PASADENA,TX,77505-4027," (281) 487-1946"
Non-plus,Houston Region,474,Lake Colony H-E-B,4724 HWY 6,MISSOURI CITY,TX,77459-4180," (281) 403-2172"
Non-plus,Central Texas Region,475,Elgin H-E-B,1080 West HWY 290,ELGIN,TX,78621-2519," (512) 285-4168"
Non-plus,Central Texas Region,476,Tech Ridge H-E-B,500 CANYON RIDGE DR.,AUSTIN,TX,78753-1632," (512) 973-8143"
Non-plus,Central Texas Region,477,Buda H-E-B,15300 S IH-35,BUDA,TX,78610-9703," (512) 312-1615"
Non-plus,Central Texas Region,479,H-E-B Pflugerville FM 685,201 N FM 685,PFLUGERVILLE,TX,78660-8045," (512) 251-0002"
Non-plus,San Antonio Region,480,I10 and Wurzbach H-E-B,9900 WURZBACH,SAN ANTONIO,TX,78230-2212," (210) 696-0794"
Non-plus,Border Region,485,83 and Westgate H-E-B,310 N. WESTGATE DRIVE,WESLACO,TX,78596-2700," (956) 447-5901"
Non-plus,Central Texas Region,487,Williams Drive H-E-B,4500 WILLIAMS DRIVE,GEORGETOWN,TX,78633-0," (512) 863-4427"
Non-plus,Gulf Coast Region,488,Portland H-E-B,1600 WILDCAT DRIVE,PORTLAND,TX,78374-2816," (361) 643-1511"
Non-plus,Border Region,489,Boca Chica H-E-B,2250 BOCA CHICA,BROWNSVILLE,TX,78521-2216," (956) 541-1251"
Central Market,Central Market,491,Central Market Houston,3815 WESTHEIMER,HOUSTON,TX,77027-5003," (713) 386-1700"
Non-plus,Houston Region,492,Fry Rd and I10 H-E-B,1550 FRY RD,HOUSTON,TX,77084-5813," (281) 829-0126"
Non-plus,San Antonio Region,494,Culebra and 1604 H-E-B,10660 WEST FM 471,SAN ANTONIO,TX,78251-1320," (210) 684-1019"
Non-plus,Central Texas Region,495,Louis Henna Blvd H-E-B,603 LOUIS HENNA BLVD. BLDG A,ROUND ROCK,TX,78664-7186," (512) 828-0806"
Non-plus,Houston Region,497,Mason Rd H-E-B,1621 MASON ROAD,KATY,TX,77450-4564," (281) 599-0045"
Non-plus,Houston Region,498,Atascocita H-E-B,7405 FM 1960 EAST,HUMBLE,TX,77346-3128," (281) 812-4357"
Non-plus,Houston Region,540,Gulfgate H-E-B,"3111 WOODRIDGE, SUITE 500",HOUSTON,TX,77087-2558," (713) 847-0025"
Non-plus,Houston Region,541,Beechnut H-E-B,10100 BEECHNUT,HOUSTON,TX,77072-5000," (281) 564-5201"
Non-plus,Houston Region,543,Texas Avenue H-E-B,1900 TEXAS AVENUE SOUTH,COLLEGE STATION,TX,77840-3914," (979) 693-0361"
Non-plus,Houston Region,544,Tejas Center H-E-B,725 E VILLA MARIA RD STE 1300,BRYAN,TX,77802-5320," (979) 779-8905"
Central Market,Central Market,545,Central Market Fort Worth,4651 WEST FREEWAY,FORT WORTH,TX,76107-5489," (817) 989-4700"
Central Market,Central Market,546,Central Market Plano,320 COIT ROAD,PLANO,TX,75075-5712," (469) 241-8300"
Non-plus,Houston Region,551,Westheimer and Kirkwood H-E-B,11815 WESTHEIMER,HOUSTON,TX,77077-6860," (281) 531-8646"
Central Market,Central Market,552,Central Market Lovers Lane,5750 EAST LOVERS LANE,DALLAS,TX,75206-2921," (214) 234-7000"
Non-plus,Houston Region,553,Bear Creek H-E-B,4955 HWY 6 N,HOUSTON,TX,77084-2718," (281) 859-9381"
Non-plus,Gulf Coast Region,554,59 and Laurent H-E-B,1505 EAST RIO GRANDE,VICTORIA,TX,77901-6220," (361) 572-8221"
Non-plus,San Antonio Region,555,Kitty Hawk H-E-B,910 KITTY HAWK ROAD,UNIVERSAL CITY,TX,78148-3806," (210) 945-2102"
Non-plus,San Antonio Region,556,Deco District H-E-B,2118 FREDERICKSBURG RD,SAN ANTONIO,TX,78201-4407," (210) 737-2047"
Plus,North West Region,557,35 and 84 H-E-B plus!,801 NORTH I-H 35,BELLMEAD,TX,76705-2874," (254) 799-0253"
